Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
253,2015-03-13,19:00:00,49,11,Friday
254,2015-03-13,20:00:00,115,11,Friday
255,2015-03-13,21:00:00,50,11,Friday
256,2015-03-14,15:00:00,43,11,Saturday
257,2015-03-14,16:00:00,34,11,Saturday
258,2015-03-14,19:00:00,177,11,Saturday
259,2015-03-14,21:00:00,36,11,Saturday
260,2015-03-15,15:00:00,42,11,Sunday
261,2015-03-15,20:00:00,35,11,Sunday
262,2015-03-15,21:00:00,108,11,Sunday
263,2015-03-16,15:00:00,56,12,Monday
264,2015-03-16,17:00:00,59,12,Monday
265,2015-03-16,19:00:00,29,12,Monday
266,2015-03-17,15:00:00,51,12,Tuesday
267,2015-03-17,20:00:00,46,12,Tuesday
268,2015-03-17,21:00:00,7,12,Tuesday
269,2015-03-18,15:00:00,20,12,Wednesday
270,2015-03-18,16:00:00,49,12,Wednesday
271,2015-03-18,17:00:00,36,12,Wednesday
272,2015-03-18,21:00:00,113,12,Wednesday
273,2015-03-19,15:00:00,85,12,Thursday
274,2015-03-19,19:00:00,193,12,Thursday
275,2015-03-19,21:00:00,70,12,Thursday
276,2015-03-20,15:00:00,61,12,Friday
277,2015-03-20,16:00:00,100,12,Friday
278,2015-03-20,19:00:00,26,12,Friday
279,2015-03-20,20:00:00,117,12,Friday
280,2015-03-21,15:00:00,67,12,Saturday
281,2015-03-21,20:00:00,222,12,Saturday
282,2015-03-22,15:00:00,63,12,Sunday
283,2015-03-22,16:00:00,63,12,Sunday
284,2015-03-22,18:00:00,150,12,Sunday
285,2015-03-22,20:00:00,78,12,Sunday
286,2015-03-23,15:00:00,33,13,Monday
287,2015-03-23,16:00:00,34,13,Monday
288,2015-03-23,17:00:00,42,13,Monday
289,2015-03-23,20:00:00,44,13,Monday
290,2015-03-24,20:00:00,26,13,Tuesday
291,2015-03-24,21:00:00,28,13,Tuesday
292,2015-03-25,15:00:00,71,13,Wednesday
293,2015-03-25,17:00:00,38,13,Wednesday
294,2015-03-25,19:00:00,58,13,Wednesday
295,2015-03-25,20:00:00,97,13,Wednesday
296,2015-03-25,21:00:00,32,13,Wednesday
297,2015-03-26,15:00:00,51,13,Thursday
298,2015-03-26,19:00:00,140,13,Thursday
299,2015-03-26,20:00:00,67,13,Thursday
300,2015-03-27,15:00:00,92,13,Friday
301,2015-03-27,17:00:00,60,13,Friday
