Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date,PMIS - Total Customer Throughput (Unadjusted)
1528,,08:00:00,,21,Thursday,2018-05-24,3.0,2019-05-23,2.0
1529,,10:00:00,,21,Thursday,2018-05-24,1.0,,
1530,,12:00:00,,21,Thursday,,,2019-05-23,3.0
1531,,13:00:00,,21,Thursday,2018-05-24,1.0,2019-05-23,4.0
1532,,14:00:00,,21,Thursday,,,2019-05-23,5.0
1533,2017-05-25,15:00:00,2.0,21,Thursday,2018-05-24,1.0,,
1534,,17:00:00,,21,Thursday,2018-05-24,2.0,,
1535,,18:00:00,,21,Thursday,2018-05-24,5.0,2019-05-23,16.0
1536,,19:00:00,,21,Thursday,2018-05-24,4.0,2019-05-23,4.0
1537,,21:00:00,,21,Thursday,2018-05-24,1.0,2019-05-23,1.0
1538,,05:00:00,,21,Tuesday,2018-05-22,1.0,,
1539,,07:00:00,,21,Tuesday,,,2019-05-21,5.0
1540,2017-05-23,09:00:00,6.0,21,Tuesday,2018-05-22,3.0,,
1541,,10:00:00,,21,Tuesday,,,2019-05-21,3.0
1542,,11:00:00,,21,Tuesday,,,2019-05-21,2.0
1543,,12:00:00,,21,Tuesday,2018-05-22,2.0,,
1544,2017-05-23,13:00:00,3.0,21,Tuesday,2018-05-22,1.0,2019-05-21,1.0
1545,,14:00:00,,21,Tuesday,,,2019-05-21,10.0
1546,,16:00:00,,21,Tuesday,,,2019-05-21,2.0
1547,,17:00:00,,21,Tuesday,,,2019-05-21,1.0
1548,,18:00:00,,21,Tuesday,2018-05-22,4.0,,
1549,,20:00:00,,21,Tuesday,2018-05-22,1.0,,
1550,,21:00:00,,21,Tuesday,2018-05-22,5.0,2019-05-21,1.0
1551,,07:00:00,,21,Wednesday,2018-05-23,2.0,2019-05-22,3.0
1552,,08:00:00,,21,Wednesday,,,2019-05-22,2.0
1553,,09:00:00,,21,Wednesday,2018-05-23,2.0,,
1554,,10:00:00,,21,Wednesday,2018-05-23,4.0,,
1555,,11:00:00,,21,Wednesday,2018-05-23,1.0,,
1556,2017-05-24,12:00:00,2.0,21,Wednesday,,,2019-05-22,1.0
1557,2017-05-24,14:00:00,3.0,21,Wednesday,2018-05-23,6.0,2019-05-22,3.0
1558,2017-05-24,15:00:00,1.0,21,Wednesday,2018-05-23,3.0,2019-05-22,1.0
1559,,16:00:00,,21,Wednesday,2018-05-23,6.0,2019-05-22,4.0
1560,,18:00:00,,21,Wednesday,,,2019-05-22,2.0
1561,2017-05-24,20:00:00,2.0,21,Wednesday,,,2019-05-22,4.0
1562,,06:00:00,,22,Friday,,,2019-05-31,1.0
1563,,07:00:00,,22,Friday,2018-06-01,1.0,2019-05-31,2.0
1564,2017-06-02,08:00:00,2.0,22,Friday,,,2019-05-31,1.0
1565,,09:00:00,,22,Friday,,,2019-05-31,7.0
1566,,10:00:00,,22,Friday,2018-06-01,6.0,2019-05-31,3.0
1567,,12:00:00,,22,Friday,,,2019-05-31,5.0
1568,,15:00:00,,22,Friday,,,2019-05-31,2.0
1569,,17:00:00,,22,Friday,,,2019-05-31,13.0
1570,,20:00:00,,22,Friday,2018-06-01,2.0,,
1571,,21:00:00,,22,Friday,2018-06-01,6.0,2019-05-31,7.0
1572,,06:00:00,,22,Monday,,,2019-05-27,1.0
1573,,07:00:00,,22,Monday,,,2019-05-27,2.0
1574,,08:00:00,,22,Monday,,,2019-05-27,3.0
1575,,09:00:00,,22,Monday,2018-05-28,2.0,,
1576,,10:00:00,,22,Monday,,,2019-05-27,8.0
1577,,11:00:00,,22,Monday,2018-05-28,1.0,2019-05-27,6.0
1578,,13:00:00,,22,Monday,2018-05-28,1.0,,
1579,,15:00:00,,22,Monday,2018-05-28,4.0,,
1580,,16:00:00,,22,Monday,2018-05-28,2.0,2019-05-27,2.0
1581,,18:00:00,,22,Monday,,,2019-05-27,2.0
1582,,21:00:00,,22,Monday,,,2019-05-27,1.0
1583,,06:00:00,,22,Saturday,2018-06-02,1.0,,
1584,,07:00:00,,22,Saturday,,,2019-06-01,2.0
1585,,08:00:00,,22,Saturday,,,2019-06-01,1.0
1586,,09:00:00,,22,Saturday,,,2019-06-01,7.0
1587,2017-06-03,10:00:00,2.0,22,Saturday,2018-06-02,1.0,,
1588,,12:00:00,,22,Saturday,2018-06-02,4.0,,
1589,,13:00:00,,22,Saturday,,,2019-06-01,3.0
1590,,14:00:00,,22,Saturday,2018-06-02,4.0,2019-06-01,3.0
1591,,15:00:00,,22,Saturday,2018-06-02,4.0,2019-06-01,3.0
1592,,16:00:00,,22,Saturday,,,2019-06-01,2.0
1593,,17:00:00,,22,Saturday,2018-06-02,9.0,,
1594,,18:00:00,,22,Saturday,2018-06-02,3.0,2019-06-01,2.0
1595,,19:00:00,,22,Saturday,2018-06-02,2.0,,
1596,,09:00:00,,22,Sunday,,,2019-06-02,1.0
1597,,10:00:00,,22,Sunday,2018-06-03,12.0,2019-06-02,1.0
1598,,11:00:00,,22,Sunday,2018-06-03,2.0,,
1599,,13:00:00,,22,Sunday,2018-06-03,1.0,2019-06-02,5.0
1600,,14:00:00,,22,Sunday,,,2019-06-02,8.0
1601,,15:00:00,,22,Sunday,2018-06-03,1.0,2019-06-02,3.0
1602,,16:00:00,,22,Sunday,,,2019-06-02,3.0
