Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
524,2015-04-07,06:00:00,100,15,Tuesday
525,2015-04-07,07:00:00,67,15,Tuesday
526,2015-04-07,16:00:00,129,15,Tuesday
527,2015-04-07,17:00:00,43,15,Tuesday
528,2015-04-08,05:00:00,15,15,Wednesday
529,2015-04-08,06:00:00,126,15,Wednesday
530,2015-04-08,07:00:00,88,15,Wednesday
531,2015-04-09,05:00:00,5,15,Thursday
532,2015-04-09,06:00:00,122,15,Thursday
533,2015-04-09,07:00:00,99,15,Thursday
534,2015-04-10,05:00:00,35,15,Friday
535,2015-04-10,06:00:00,98,15,Friday
536,2015-04-10,07:00:00,108,15,Friday
537,2015-04-11,05:00:00,15,15,Saturday
538,2015-04-11,06:00:00,168,15,Saturday
539,2015-04-11,07:00:00,62,15,Saturday
540,2015-04-12,05:00:00,10,15,Sunday
541,2015-04-12,06:00:00,202,15,Sunday
542,2015-04-12,07:00:00,69,15,Sunday
543,2015-04-13,05:00:00,17,16,Monday
544,2015-04-13,06:00:00,197,16,Monday
545,2015-04-13,07:00:00,77,16,Monday
546,2015-04-14,05:00:00,13,16,Tuesday
547,2015-04-14,06:00:00,103,16,Tuesday
548,2015-04-14,07:00:00,77,16,Tuesday
549,2015-04-14,08:00:00,43,16,Tuesday
550,2015-04-15,05:00:00,27,16,Wednesday
551,2015-04-15,06:00:00,137,16,Wednesday
552,2015-04-15,07:00:00,72,16,Wednesday
553,2015-04-16,05:00:00,7,16,Thursday
554,2015-04-16,06:00:00,144,16,Thursday
555,2015-04-16,07:00:00,101,16,Thursday
556,2015-04-17,05:00:00,15,16,Friday
557,2015-04-17,06:00:00,138,16,Friday
558,2015-04-17,07:00:00,79,16,Friday
559,2015-04-18,05:00:00,10,16,Saturday
560,2015-04-18,06:00:00,170,16,Saturday
561,2015-04-18,07:00:00,79,16,Saturday
562,2015-04-19,05:00:00,15,16,Sunday
563,2015-04-19,06:00:00,115,16,Sunday
564,2015-04-19,07:00:00,124,16,Sunday
565,2015-04-20,05:00:00,22,17,Monday
566,2015-04-20,06:00:00,141,17,Monday
567,2015-04-20,07:00:00,86,17,Monday
